"番号","フレーズ"
"1","バスが停車する。"
"2","直ちに家に帰る。"
"3","祖父母と出かける。"
"4","赤飯をたく。"
"5","旅行の準備をする。"
"6","海外との貿易。"
"7","国際的な会議。"
"8","愛犬と散歩する。"
"9","清潔なタオル。"
"10","台風に備える。"
"11","駅の案内板。"
"12","台車を動かす。"
"13","料理に関する本。"
"14","学級会が開かれる。"
"15","次の日の予定。"
"16","文の成り立ち。"
"17","年末の行事。"
"18","くわしい説明。"
"19","易しい問題。"
"20","安易な考え。"
"21","相手に質問する。"
"22","天候が変わる。"
"23","順番を決める。"
"24","遠足の準備をする。"
"25","結果を報告する。"
"26","野球部に所属する。"
"27","予定を確かめる。"
"28","ちがいを意識する。"
"29","行き先を告げる。"
"30","正確な時間。"
"31","手紙の内容。"
"32","箱の側面を持つ。"
"33","熱意が伝わる。"
"34","五分以内にもどる。"
"35","最初のあいさつ。"
"36","活動に参加する。"
"37","水泳の選手。"
"38","うれしそうな表情。"
"39","要点をまとめる。"
"40","目的を果たす。"
"41","原因と結果。"
"42","アメリカの西部。"
"43","丸太を運ぶ。"
"44","大きな船を造る。"
"45","顔が母に似る。"
"46","人数を限る。"
"47","留学生が来る。"
"48","気持ちを表現する。"
"49","手紙を直接わたす。"
"50","建物の構造。"
"51","想像力を働かせる。"
"52","内容を理解する。"
"53","場所を確かめる。"
"54","適切な答え。"
"55","物語の構成。"
"56","知識をふやす。"
"57","最小限の数。"
"58","ボタンを留める。"
"59","月が現れる。"
"60","家で留守番をする。"
"61","相談に応じる。"
"62","大勢でにぎわう。"
"63","氷河が流れる。"
"64","歴史を学ぶ。"
"65","新幹線に乗る。"
"66","客を招く。"
"67","俳句を作る。"
"68","日常の出来事。"
"69","発表の順序。"
"70","要望に応える。"
"71","おだやかな印象。"
"72","戸のねじを留める。"
"73","人数を限る。"
"74","荷物を直接わたす。"
"75","情景を思いうかべる。"
"76","雨の勢いが強い。"
"77","大きな河が流れる。"
"78","木の幹が折れる。"
"79","招待状が届く。"
"80","常に考える。"
"81","武士の刀。"
"82","資料を集める。"
"83","原因を調査する。"
"84","性別を問わない。"
"85","ビルの非常口。"
"86","総合的な学習。"
"87","体温を測る。"
"88","新しい校舎。"
"89","道を往復する。"
"90","人形げきの公演。"
"91","古典を読む。"
"92","五年の月日を経る。"
"93","理想と現実。"
"94","通信が絶える。"
"95","情報を共有する。"
"96","問題を解決する。"
"97","実際の様子。"
"98","時間を計る。"
"99","武者ぶるいをする。"
"100","月を観測する。"
"101","週刊誌を読む。"
"102","肥料をまく。"
"103","糸を作る製糸工場。"
"104","謝罪を受け入れる。"
"105","暴風に備える。"
"106","暴風林を作る。"
"107","鉱石をほる。"
"108","効績をたたえる。"
"109","高い志。"
"110","太平洋を航海する。"
"111","牛肉を焼く。"
"112","品質を管理する。"
"113","男性が話す。"
"114","土地が肥える。"
"115","罪をつぐなう。"
"116","馬が暴れる。"
"117","寒さを防ぐ。"
"118","志望校を受験する。"
"119","植物に肥をやる。"
"120","医者を志す。"
"121","夢中で遊ぶ。"
"122","短編集を読む。"
"123","危険をさける。"
"124","正しいと断言する。"
"125","境界線を引く。"
"126","事態が悪化する。"
"127","逆方向に進む。"
"128","裁判で争う。"
"129","左右をよく見る。"
"130","圧力をかける。"
"131","道の角を曲がる。"
"132","道路の標識。"
"133","夢がかなう。"
"134","セーターを編む。"
"135","険しい道を歩く。"
"136","さそいを断る。"
"137","土地の境目。"
"138","逆さまになる。"
"139","古い小判。"
"140","流れに逆らう。"
